CL_CD,CL_NM,AREA_NM,ADDR,BASE_YEAR,ALL_TOTAL_CO,JAN_VIEWS_CO,FEB_VIEWS_CO,MAR_VIEWS_CO,APR_VIEWS_CO,MAY_VIEWS_CO,JUN_VIEWS_CO,JULY_VIEWS_CO,AUG_VIEWS_CO,SEP_VIEWS_CO,OCT_VIEWS_CO,NOV_VIEWS_CO,DEC_VIEWS_CO,LON,LAT,AREA
c3,숙박,에이티눈호텔,제주시 은남1길 8,2023,306,21,8,18,33,36,28,10,18,73,18,17,26,126.494996034,33.489337318,북서
c3,숙박,에코그린리조트,제주시 한림읍 귀덕6길 94,2023,405,48,25,49,45,63,43,31,30,29,18,12,12,126.291476394,33.435291858,북서
c3,숙박,에코랜드호텔,제주시 조천읍 번영로 1278-169 (대흘리),2023,202,0,0,0,0,0,0,0,0,30,108,39,25,126.668548672,33.455489942,북동
c3,숙박,에코하우스민박펜션,제주시 추자면 추자로 657,2023,393,29,25,48,32,40,43,28,31,36,20,38,23,126.329248554,33.949743841,북서
c3,숙박,에코힐링하우스,제주시 한림읍 협재남2길 45-60 (협재리),2023,109,52,25,32,0,0,0,0,0,0,0,0,0,126.248687871,33.378907481,북서
c3,숙박,에쿠스모텔,서귀포시 안덕면 화순중앙로54번길 5,2023,457,25,25,52,48,49,34,34,36,44,29,36,45,126.335331657,33.247156926,남서
c3,숙박,에퀴녹스 드 협재,제주시 한림읍 협재10길 4,2023,220,71,15,18,17,25,18,25,10,6,10,2,3,126.246655173,33.398600093,북서
c3,숙박,에프원모텔,제주시 사장1길 18,2023,1,0,0,0,1,0,0,0,0,0,0,0,0,126.493903253,33.485335173,북서
c3,숙박,엔젤하우스,제주시 애월읍 신엄안3길 95,2023,453,110,26,54,50,38,30,33,14,30,24,20,24,126.35777791,33.472399269,북서
c3,숙박,엘마르게스트하우스,서귀포시 표선면 표선당포로 17,2023,201,34,20,12,21,27,17,13,9,10,10,16,12,126.844258424,33.326074426,남동
c3,숙박,엘쯔타운펜션,제주시 애월읍 유수암평화길 136,2023,186,20,20,24,28,22,22,12,15,11,11,1,0,126.407238691,33.429964969,북서
c3,숙박,엠버관광호텔,제주시 삼무로 12 (연동),2023,72,14,4,6,8,8,5,5,6,6,4,2,4,126.487815694,33.489736376,북서
c3,숙박,엠버리조트,제주시 1100로 2671-51,2023,47,6,8,5,4,12,3,5,4,0,0,0,0,126.48923868,33.423381649,북서
c3,숙박,엠버퓨어힐호텔&리조트,제주시 1100로 2671-30,2023,61,0,0,0,0,0,0,0,11,21,12,8,9,126.487917381,33.424983738,북서
c3,숙박,엠버하우스,제주시 애월읍 애월해안로 400,2023,146,23,8,15,24,16,13,9,7,13,10,5,3,126.35062399,33.471179259,북서
c3,숙박,엠버호텔 센트럴,제주시 노연로 24,2023,156,13,10,22,13,26,9,13,12,15,12,3,8,126.482650329,33.485848276,북서
c3,숙박,엠스테이호텔,서귀포시 태평로353번길 14,2023,235,32,20,18,17,30,23,15,27,18,15,8,12,126.56069,33.24680608,남동
c3,숙박,여래게스트하우스,제주시 구좌읍 세화7길 31-2,2023,397,41,36,35,39,32,38,35,31,30,30,23,27,126.860977107,33.523727463,북동
c3,숙박,여울목게스트하우스(월정리),제주시 구좌읍 월정중길 51,2023,791,76,64,94,92,76,88,48,50,56,54,52,41,126.794061492,33.558650458,북동
c3,숙박,여정여관,제주시 추자면 추자로 4-1,2023,343,37,12,40,49,49,38,18,33,27,15,14,11,126.297862023,33.962696518,북서
c3,숙박,여행스케치,서귀포시 일주서로 694,2023,186,29,18,16,29,29,14,11,11,13,7,4,5,126.435949489,33.255546615,남서
c3,숙박,연이네다락방 게스트하우스,제주시 구좌읍 동복로 56-3,2023,466,64,39,54,33,46,34,32,33,35,30,33,33,126.712260165,33.552648001,북동
c3,숙박,연지민박,제주시 우도면 상우목길 26,2023,295,26,31,56,30,34,29,21,17,17,17,11,6,126.949371597,33.505251102,북동
c3,숙박,예다움휴양펜션,제주시 백포북길 25,2023,180,16,10,24,21,18,14,19,16,15,20,3,4,126.458952647,33.502909628,북서
c3,숙박,예스준게스트하우스,제주시 서해안로 232 (도두일동),2023,141,20,16,16,9,18,12,12,8,13,9,2,6,126.470741312,33.508476609,북서
c3,숙박,예이츠산장,서귀포시 남원읍 516로 918,2023,394,45,16,26,47,37,36,27,49,33,30,16,32,126.601370846,33.325465033,남동
c3,숙박,예촌민박,서귀포시 남원읍 중산간동로 7126,2023,679,59,68,65,43,69,64,60,34,50,60,52,55,126.631077719,33.283642755,남동
c3,숙박,옛마을펜션,서귀포시 검은여로 80,2023,285,39,22,32,29,31,27,22,21,18,18,8,18,126.581670228,33.250793714,남동
c3,숙박,옛살라비,제주시 애월읍 광령8길 47,2023,109,13,8,9,13,15,10,11,9,8,7,4,2,126.440886804,33.457162043,북서
c3,숙박,오누게스트하우스,제주시 애월읍 애월로2길 7,2023,168,16,11,15,21,31,19,9,8,8,12,4,14,126.314057328,33.462876454,북서
c3,숙박,오랑제리펜션,서귀포시 법환상로2번길 58,2023,256,31,53,28,20,26,25,17,10,8,12,12,14,126.514457844,33.244719415,남서
c3,숙박,오렌지트리 호텔,제주시 관덕로8길 7-12,2023,68,13,4,7,10,13,2,6,5,3,3,1,1,126.524333332,33.512306129,북서
c3,숙박,오롯바이에퀴녹스,제주시 한림읍 금능길 75,2023,45,0,0,0,0,0,0,0,13,9,15,2,6,126.230931181,33.389018588,북서
